ПІБ,Група,Email,Пароль
Іванов Іван Іванович,ПІ-21,ivan.ivanov@gmail.com,ivan2024
Петренко Марія Олександрівна,ПІ-22,marina.petrova@gmail.com,maria2024
Сидоренко Андрій Петрович,ІТ-21,andriy.sydorenko@gmail.com,andriy2024
Коваленко Олена Василівна,ІТ-22,olena.kovalenko@gmail.com,olena2024
Шевченко Тарас Григорович,ПІ-21,taras.shevchenko@gmail.com,taras2024
Бондаренко Дмитро Олегович,ПМ-21,dmitro.bondarenko@gmail.com,dmitro2024
Мельник Анна Петрівна,ПМ-22,anna.melnyk@gmail.com,anna2024
Лисенко Максим Ігорович,КН-21,maxim.lysenko@gmail.com,maxim2024
Гавриленко Софія Андріївна,КН-22,sofia.havrylenko@gmail.com,sofia2024
Козак Роман Васильович,ПІ-21,roman.kozak@gmail.com,roman2024
